Label (Grouping),ZCTA5 64014!!Estimate,ZCTA5 64014!!Percent,ZCTA5 64015!!Estimate,ZCTA5 64015!!Percent,ZCTA5 64016!!Estimate,ZCTA5 64016!!Percent,ZCTA5 64029!!Estimate,ZCTA5 64029!!Percent,ZCTA5 64030!!Estimate,ZCTA5 64030!!Percent,ZCTA5 64034!!Estimate,ZCTA5 64034!!Percent,ZCTA5 64050!!Estimate,ZCTA5 64050!!Percent,ZCTA5 64052!!Estimate,ZCTA5 64052!!Percent,ZCTA5 64053!!Estimate,ZCTA5 64053!!Percent,ZCTA5 64054!!Estimate,ZCTA5 64054!!Percent,ZCTA5 64055!!Estimate,ZCTA5 64055!!Percent,ZCTA5 64056!!Estimate,ZCTA5 64056!!Percent,ZCTA5 64057!!Estimate,ZCTA5 64057!!Percent,ZCTA5 64058!!Estimate,ZCTA5 64058!!Percent,ZCTA5 64063!!Estimate,ZCTA5 64063!!Percent,ZCTA5 64064!!Estimate,ZCTA5 64064!!Percent,ZCTA5 64070!!Estimate,ZCTA5 64070!!Percent,ZCTA5 64075!!Estimate,ZCTA5 64075!!Percent,ZCTA5 64081!!Estimate,ZCTA5 64081!!Percent,ZCTA5 64082!!Estimate,ZCTA5 64082!!Percent,ZCTA5 64086!!Estimate,ZCTA5 64086!!Percent,ZCTA5 64088!!Estimate,ZCTA5 64088!!Percent,ZCTA5 64101!!Estimate,ZCTA5 64101!!Percent,ZCTA5 64102!!Estimate,ZCTA5 64102!!Percent,ZCTA5 64105!!Estimate,ZCTA5 64105!!Percent,ZCTA5 64106!!Estimate,ZCTA5 64106!!Percent,ZCTA5 64108!!Estimate,ZCTA5 64108!!Percent,ZCTA5 64109!!Estimate,ZCTA5 64109!!Percent,ZCTA5 64110!!Estimate,ZCTA5 64110!!Percent,ZCTA5 64111!!Estimate,ZCTA5 64111!!Percent,ZCTA5 64112!!Estimate,ZCTA5 64112!!Percent,ZCTA5 64113!!Estimate,ZCTA5 64113!!Percent,ZCTA5 64114!!Estimate,ZCTA5 64114!!Percent,ZCTA5 64120!!Estimate,ZCTA5 64120!!Percent,ZCTA5 64123!!Estimate,ZCTA5 64123!!Percent,ZCTA5 64124!!Estimate,ZCTA5 64124!!Percent,ZCTA5 64125!!Estimate,ZCTA5 64125!!Percent,ZCTA5 64126!!Estimate,ZCTA5 64126!!Percent,ZCTA5 64127!!Estimate,ZCTA5 64127!!Percent,ZCTA5 64128!!Estimate,ZCTA5 64128!!Percent,ZCTA5 64129!!Estimate,ZCTA5 64129!!Percent,ZCTA5 64130!!Estimate,ZCTA5 64130!!Percent,ZCTA5 64131!!Estimate,ZCTA5 64131!!Percent,ZCTA5 64132!!Estimate,ZCTA5 64132!!Percent,ZCTA5 64133!!Estimate,ZCTA5 64133!!Percent,ZCTA5 64134!!Estimate,ZCTA5 64134!!Percent,ZCTA5 64136!!Estimate,ZCTA5 64136!!Percent,ZCTA5 64137!!Estimate,ZCTA5 64137!!Percent,ZCTA5 64138!!Estimate,ZCTA5 64138!!Percent,ZCTA5 64139!!Estimate,ZCTA5 64139!!Percent,ZCTA5 64145!!Estimate,ZCTA5 64145!!Percent,ZCTA5 64146!!Estimate,ZCTA5 64146!!Percent,ZCTA5 64147!!Estimate,ZCTA5 64147!!Percent
                Same county,"3,219",11.60%,"2,701",8.50%,392,8.60%,"1,429",6.80%,"2,018",7.90%,378,4.40%,"1,249",5.90%,"1,562",7.10%,263,4.20%,115,3.70%,"2,557",7.10%,"1,056",5.90%,"1,085",7.60%,333,5.00%,"1,463",7.00%,"1,682",8.60%,71,2.40%,510,4.40%,"2,089",8.40%,"1,135",6.00%,"1,915",8.10%,30,2.30%,48,42.50%,0,-,775,14.10%,"1,400",13.00%,"1,394",14.30%,"1,316",13.10%,"2,191",12.50%,"2,722",16.00%,"1,303",15.20%,763,6.20%,"1,726",7.00%,80,13.80%,475,4.60%,846,7.90%,114,5.10%,140,2.50%,"1,619",9.30%,"1,041",8.40%,818,9.80%,"1,819",9.40%,"2,904",13.20%,"1,370",11.40%,"1,603",4.30%,"2,131",9.40%,49,3.00%,"1,461",14.80%,"2,070",8.60%,196,8.50%,317,6.20%,0,0.00%,0,0.00%
                Different county,792,2.90%,"1,062",3.40%,75,1.60%,709,3.40%,"1,243",4.90%,207,2.40%,931,4.40%,744,3.40%,230,3.60%,247,8.00%,"1,184",3.30%,428,2.40%,393,2.80%,109,1.60%,"1,174",5.60%,"1,095",5.60%,93,3.10%,323,2.80%,915,3.70%,"1,088",5.70%,"1,540",6.50%,0,0.00%,50,44.20%,0,-,"1,260",22.90%,"1,558",14.50%,"1,194",12.30%,726,7.20%,"1,885",10.80%,"2,010",11.80%,"1,299",15.20%,318,2.60%,"1,636",6.70%,71,12.20%,219,2.10%,515,4.80%,107,4.80%,333,6.00%,452,2.60%,573,4.60%,478,5.70%,549,2.80%,"1,271",5.80%,859,7.20%,"1,579",4.30%,"1,159",5.10%,269,16.70%,823,8.30%,737,3.10%,167,7.20%,588,11.50%,112,9.10%,31,5.30%
                    Same state,330,1.20%,344,1.10%,43,0.90%,296,1.40%,665,2.60%,153,1.80%,391,1.90%,384,1.70%,101,1.60%,130,4.20%,625,1.70%,133,0.70%,91,0.60%,65,1.00%,231,1.10%,448,2.30%,79,2.60%,200,1.70%,413,1.70%,560,2.90%,494,2.10%,0,0.00%,13,11.50%,0,-,303,5.50%,719,6.70%,379,3.90%,187,1.90%,639,3.60%,525,3.10%,287,3.40%,116,0.90%,510,2.10%,34,5.90%,57,0.50%,243,2.30%,107,4.80%,180,3.20%,219,1.30%,182,1.50%,337,4.00%,150,0.80%,413,1.90%,226,1.90%,526,1.40%,670,3.00%,0,0.00%,201,2.00%,206,0.90%,30,1.30%,147,2.90%,0,0.00%,27,4.60%
                    Different state,462,1.70%,718,2.30%,32,0.70%,413,2.00%,578,2.30%,54,0.60%,540,2.60%,360,1.60%,129,2.00%,117,3.80%,559,1.60%,295,1.60%,302,2.10%,44,0.70%,943,4.50%,647,3.30%,14,0.50%,123,1.10%,502,2.00%,528,2.80%,"1,046",4.40%,0,0.00%,37,32.70%,0,-,957,17.40%,839,7.80%,815,8.40%,539,5.40%,"1,246",7.10%,"1,485",8.70%,"1,012",11.80%,202,1.60%,"1,126",4.60%,37,6.40%,162,1.60%,272,2.50%,0,0.00%,153,2.70%,233,1.30%,391,3.20%,141,1.70%,399,2.10%,858,3.90%,633,5.30%,"1,053",2.80%,489,2.20%,269,16.70%,622,6.30%,531,2.20%,137,5.90%,441,8.70%,112,9.10%,4,0.70%
            Abroad,12,0.00%,39,0.10%,0,0.00%,8,0.00%,116,0.50%,6,0.10%,7,0.00%,231,1.00%,0,0.00%,0,0.00%,25,0.10%,0,0.00%,55,0.40%,0,0.00%,16,0.10%,13,0.10%,0,0.00%,7,0.10%,0,0.00%,18,0.10%,0,0.00%,0,0.00%,0,0.00%,0,-,41,0.70%,624,5.80%,21,0.20%,106,1.10%,111,0.60%,58,0.30%,90,1.10%,0,0.00%,40,0.20%,0,0.00%,15,0.10%,103,1.00%,0,0.00%,0,0.00%,163,0.90%,114,0.90%,0,0.00%,0,0.00%,29,0.10%,54,0.50%,5,0.00%,56,0.20%,0,0.00%,130,1.30%,73,0.30%,0,0.00%,11,0.20%,0,0.00%,0,0.00%
PLACE OF BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total population,"27,964","27,964","32,011","32,011","4,628","4,628","21,330","21,330","25,808","25,808","8,713","8,713","21,280","21,280","22,235","22,235","6,383","6,383","3,100","3,100","36,162","36,162","18,098","18,098","14,282","14,282","6,686","6,686","21,232","21,232","19,783","19,783","3,039","3,039","11,780","11,780","24,987","24,987","19,261","19,261","24,030","24,030","1,325","1,325",113,113,0,0,"5,548","5,548","10,811","10,811","9,768","9,768","10,133","10,133","17,610","17,610","17,187","17,187","8,578","8,578","12,446","12,446","24,931","24,931",580,580,"10,536","10,536","11,081","11,081","2,334","2,334","5,590","5,590","17,621","17,621","12,524","12,524","8,359","8,359","19,609","19,609","22,311","22,311","12,188","12,188","37,442","37,442","23,009","23,009","1,680","1,680","10,150","10,150","24,183","24,183","2,329","2,329","5,132","5,132","1,234","1,234",581,581
        Native,"27,274",97.50%,"31,438",98.20%,"4,560",98.50%,"21,074",98.80%,"23,886",92.60%,"8,644",99.20%,"20,756",97.50%,"20,148",90.60%,"5,727",89.70%,"3,019",97.40%,"35,013",96.80%,"17,704",97.80%,"14,014",98.10%,"6,530",97.70%,"20,278",95.50%,"18,981",95.90%,"3,030",99.70%,"11,659",99.00%,"23,714",94.90%,"18,607",96.60%,"23,058",96.00%,"1,309",98.80%,113,100.00%,0,-,"5,185",93.50%,"9,257",85.60%,"9,259",94.80%,"9,304",91.80%,"16,704",94.90%,"16,364",95.20%,"7,902",92.10%,"11,946",96.00%,"23,678",95.00%,534,92.10%,"7,867",74.70%,"7,157",64.60%,"2,000",85.70%,"3,550",63.50%,"14,550",82.60%,"11,817",94.40%,"7,793",93.20%,"18,725",95.50%,"21,267",95.30%,"11,643",95.50%,"35,567",95.00%,"22,086",96.00%,"1,627",96.80%,"9,260",91.20%,"22,521",93.10%,"2,285",98.10%,"4,871",94.90%,"1,178",95.50%,557,95.90%
            Born in United States,"27,117",97.00%,"31,193",97.40%,"4,513",97.50%,"20,930",98.10%,"23,539",91.20%,"8,538",98.00%,"20,730",97.40%,"19,916",89.60%,"5,662",88.70%,"2,974",95.90%,"34,874",96.40%,"17,602",97.30%,"13,733",96.20%,"6,499",97.20%,"20,071",94.50%,"18,862",95.30%,"3,023",99.50%,"11,626",98.70%,"23,581",94.40%,"18,492",96.00%,"22,959",95.50%,"1,309",98.80%,113,100.00%,0,-,"5,158",93.00%,"9,129",84.40%,"9,204",94.20%,"9,283",91.60%,"16,616",94.40%,"16,112",93.70%,"7,884",91.90%,"11,834",95.10%,"23,559",94.50%,475,81.90%,"7,665",72.80%,"7,083",63.90%,"1,964",84.10%,"3,413",61.10%,"14,423",81.90%,"11,758",93.90%,"7,760",92.80%,"18,583",94.80%,"21,040",94.30%,"11,610",95.30%,"35,192",94.00%,"22,015",95.70%,"1,627",96.80%,"9,142",90.10%,"22,420",92.70%,"2,285",98.10%,"4,826",94.00%,"1,161",94.10%,557,95.90%
                State of residence,"18,308",65.50%,"20,101",62.80%,"3,429",74.10%,"15,269",71.60%,"12,756",49.40%,"4,320",49.60%,"14,925",70.10%,"14,015",63.00%,"4,075",63.80%,"2,306",74.40%,"24,516",67.80%,"13,289",73.40%,"9,402",65.80%,"5,571",83.30%,"13,182",62.10%,"12,496",63.20%,"2,402",79.00%,"9,087",77.10%,"14,428",57.70%,"10,338",53.70%,"13,696",57.00%,"1,093",82.50%,73,64.60%,0,-,"2,014",36.30%,"5,318",49.20%,"5,379",55.10%,"5,092",50.30%,"9,369",53.20%,"6,942",40.40%,"2,995",34.90%,"5,981",48.10%,"11,030",44.20%,180,31.00%,"4,998",47.40%,"4,056",36.60%,"1,593",68.30%,"2,490",44.50%,"10,229",58.10%,"8,189",65.40%,"5,649",67.60%,"11,986",61.10%,"12,784",57.30%,"7,874",64.60%,"23,401",62.50%,"14,403",62.60%,"1,189",70.80%,"4,101",40.40%,"15,376",63.60%,"1,388",59.60%,"2,351",45.80%,660,53.50%,438,75.40%
                Different state,"8,809",31.50%,"11,092",34.70%,"1,084",23.40%,"5,661",26.50%,"10,783",41.80%,"4,218",48.40%,"5,805",27.30%,"5,901",26.50%,"1,587",24.90%,668,21.50%,"10,358",28.60%,"4,313",23.80%,"4,331",30.30%,928,13.90%,"6,889",32.40%,"6,366",32.20%,621,20.40%,"2,539",21.60%,"9,153",36.60%,"8,154",42.30%,"9,263",38.50%,216,16.30%,40,35.40%,0,-,"3,144",56.70%,"3,811",35.30%,"3,825",39.20%,"4,191",41.40%,"7,247",41.20%,"9,170",53.40%,"4,889",57.00%,"5,853",47.00%,"12,529",50.30%,295,50.90%,"2,667",25.30%,"3,027",27.30%,371,15.90%,923,16.50%,"4,194",23.80%,"3,569",28.50%,"2,111",25.30%,"6,597",33.60%,"8,256",37.00%,"3,736",30.70%,"11,791",31.50%,"7,612",33.10%,438,26.10%,"5,041",49.70%,"7,044",29.10%,897,38.50%,"2,475",48.20%,501,40.60%,119,20.50%
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",157,0.60%,245,0.80%,47,1.00%,144,0.70%,347,1.30%,106,1.20%,26,0.10%,232,1.00%,65,1.00%,45,1.50%,139,0.40%,102,0.60%,281,2.00%,31,0.50%,207,1.00%,119,0.60%,7,0.20%,33,0.30%,133,0.50%,115,0.60%,99,0.40%,0,0.00%,0,0.00%,0,-,27,0.50%,128,1.20%,55,0.60%,21,0.20%,88,0.50%,252,1.50%,18,0.20%,112,0.90%,119,0.50%,59,10.20%,202,1.90%,74,0.70%,36,1.50%,137,2.50%,127,0.70%,59,0.50%,33,0.40%,142,0.70%,227,1.00%,33,0.30%,375,1.00%,71,0.30%,0,0.00%,118,1.20%,101,0.40%,0,0.00%,45,0.90%,17,1.40%,0,0.00%
        Foreign born,690,2.50%,573,1.80%,68,1.50%,256,1.20%,"1,922",7.40%,69,0.80%,524,2.50%,"2,087",9.40%,656,10.30%,81,2.60%,"1,149",3.20%,394,2.20%,268,1.90%,156,2.30%,954,4.50%,802,4.10%,9,0.30%,121,1.00%,"1,273",5.10%,654,3.40%,972,4.00%,16,1.20%,0,0.00%,0,-,363,6.50%,"1,554",14.40%,509,5.20%,829,8.20%,906,5.10%,823,4.80%,676,7.90%,500,4.00%,"1,253",5.00%,46,7.90%,"2,669",25.30%,"3,924",35.40%,334,14.30%,"2,040",36.50%,"3,071",17.40%,707,5.60%,566,6.80%,884,4.50%,"1,044",4.70%,545,4.50%,"1,875",5.00%,923,4.00%,53,3.20%,890,8.80%,"1,662",6.90%,44,1.90%,261,5.10%,56,4.50%,24,4.10%
U.S. CITIZENSHIP STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Foreign-born population,690,690,573,573,68,68,256,256,"1,922","1,922",69,69,524,524,"2,087","2,087",656,656,81,81,"1,149","1,149",394,394,268,268,156,156,954,954,802,802,9,9,121,121,"1,273","1,273",654,654,972,972,16,16,0,0,0,0,363,363,"1,554","1,554",509,509,829,829,906,906,823,823,676,676,500,500,"1,253","1,253",46,46,"2,669","2,669","3,924","3,924",334,334,"2,040","2,040","3,071","3,071",707,707,566,566,884,884,"1,044","1,044",545,545,"1,875","1,875",923,923,53,53,890,890,"1,662","1,662",44,44,261,261,56,56,24,24
        Naturalized U.S. citizen,282,40.90%,326,56.90%,43,63.20%,203,79.30%,908,47.20%,61,88.40%,273,52.10%,687,32.90%,152,23.20%,34,42.00%,544,47.30%,244,61.90%,176,65.70%,151,96.80%,677,71.00%,570,71.10%,4,44.40%,51,42.10%,"1,012",79.50%,524,80.10%,814,83.70%,13,81.30%,0,-,0,-,227,62.50%,760,48.90%,242,47.50%,238,28.70%,389,42.90%,485,58.90%,225,33.30%,330,66.00%,827,66.00%,39,84.80%,"1,364",51.10%,"1,124",28.60%,39,11.70%,561,27.50%,620,20.20%,123,17.40%,220,38.90%,185,20.90%,428,41.00%,284,52.10%,574,30.60%,351,38.00%,0,0.00%,443,49.80%,651,39.20%,31,70.50%,168,64.40%,50,89.30%,0,0.00%
        Not a U.S. citizen,408,59.10%,247,43.10%,25,36.80%,53,20.70%,"1,014",52.80%,8,11.60%,251,47.90%,"1,400",67.10%,504,76.80%,47,58.00%,605,52.70%,150,38.10%,92,34.30%,5,3.20%,277,29.00%,232,28.90%,5,55.60%,70,57.90%,261,20.50%,130,19.90%,158,16.30%,3,18.80%,0,-,0,-,136,37.50%,794,51.10%,267,52.50%,591,71.30%,517,57.10%,338,41.10%,451,66.70%,170,34.00%,426,34.00%,7,15.20%,"1,305",48.90%,"2,800",71.40%,295,88.30%,"1,479",72.50%,"2,451",79.80%,584,82.60%,346,61.10%,699,79.10%,616,59.00%,261,47.90%,"1,301",69.40%,572,62.00%,53,100.00%,447,50.20%,"1,011",60.80%,13,29.50%,93,35.60%,6,10.70%,24,100.00%
YEAR OF ENTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population born outside the United States,847,847,818,818,115,115,400,400,"2,269","2,269",175,175,550,550,"2,319","2,319",721,721,126,126,"1,288","1,288",496,496,549,549,187,187,"1,161","1,161",921,921,16,16,154,154,"1,406","1,406",769,769,"1,071","1,071",16,16,0,0,0,0,390,390,"1,682","1,682",564,564,850,850,994,994,"1,075","1,075",694,694,612,612,"1,372","1,372",105,105,"2,871","2,871","3,998","3,998",370,370,"2,177","2,177","3,198","3,198",766,766,599,599,"1,026","1,026","1,271","1,271",578,578,"2,250","2,250",994,994,53,53,"1,008","1,008","1,763","1,763",44,44,306,306,73,73,24,24
        Native,157,157,245,245,47,47,144,144,347,347,106,106,26,26,232,232,65,65,45,45,139,139,102,102,281,281,31,31,207,207,119,119,7,7,33,33,133,133,115,115,99,99,0,0,0,0,0,0,27,27,128,128,55,55,21,21,88,88,252,252,18,18,112,112,119,119,59,59,202,202,74,74,36,36,137,137,127,127,59,59,33,33,142,142,227,227,33,33,375,375,71,71,0,0,118,118,101,101,0,0,45,45,17,17,0,0
            Entered 2010 or later,61,38.90%,5,2.00%,0,0.00%,11,7.60%,65,18.70%,47,44.30%,0,0.00%,14,6.00%,0,0.00%,45,100.00%,23,16.50%,49,48.00%,60,21.40%,0,0.00%,20,9.70%,48,40.30%,3,42.90%,8,24.20%,11,8.30%,6,5.20%,21,21.20%,0,-,0,-,0,-,0,0.00%,38,29.70%,20,36.40%,21,100.00%,13,14.80%,20,7.90%,0,0.00%,0,0.00%,17,14.30%,59,100.00%,149,73.80%,48,64.90%,15,41.70%,122,89.10%,71,55.90%,32,54.20%,18,54.50%,97,68.30%,27,11.90%,0,0.00%,212,56.50%,58,81.70%,0,-,0,0.00%,30,29.70%,0,-,0,0.00%,0,0.00%,0,-
            Entered before 2010,96,61.10%,240,98.00%,47,100.00%,133,92.40%,282,81.30%,59,55.70%,26,100.00%,218,94.00%,65,100.00%,0,0.00%,116,83.50%,53,52.00%,221,78.60%,31,100.00%,187,90.30%,71,59.70%,4,57.10%,25,75.80%,122,91.70%,109,94.80%,78,78.80%,0,-,0,-,0,-,27,100.00%,90,70.30%,35,63.60%,0,0.00%,75,85.20%,232,92.10%,18,100.00%,112,100.00%,102,85.70%,0,0.00%,53,26.20%,26,35.10%,21,58.30%,15,10.90%,56,44.10%,27,45.80%,15,45.50%,45,31.70%,200,88.10%,33,100.00%,163,43.50%,13,18.30%,0,-,118,100.00%,71,70.30%,0,-,45,100.00%,17,100.00%,0,-
        Foreign born,690,690,573,573,68,68,256,256,"1,922","1,922",69,69,524,524,"2,087","2,087",656,656,81,81,"1,149","1,149",394,394,268,268,156,156,954,954,802,802,9,9,121,121,"1,273","1,273",654,654,972,972,16,16,0,0,0,0,363,363,"1,554","1,554",509,509,829,829,906,906,823,823,676,676,500,500,"1,253","1,253",46,46,"2,669","2,669","3,924","3,924",334,334,"2,040","2,040","3,071","3,071",707,707,566,566,884,884,"1,044","1,044",545,545,"1,875","1,875",923,923,53,53,890,890,"1,662","1,662",44,44,261,261,56,56,24,24
            Entered 2010 or later,143,20.70%,181,31.60%,3,4.40%,23,9.00%,503,26.20%,8,11.60%,34,6.50%,669,32.10%,220,33.50%,0,0.00%,332,28.90%,80,20.30%,75,28.00%,0,0.00%,249,26.10%,234,29.20%,2,22.20%,29,24.00%,218,17.10%,46,7.00%,116,11.90%,2,12.50%,0,-,0,-,101,27.80%,898,57.80%,178,35.00%,265,32.00%,332,36.60%,184,22.40%,377,55.80%,124,24.80%,313,25.00%,0,0.00%,593,22.20%,"1,533",39.10%,103,30.80%,759,37.20%,"1,247",40.60%,300,42.40%,250,44.20%,402,45.50%,407,39.00%,69,12.70%,522,27.80%,237,25.70%,37,69.80%,285,32.00%,757,45.50%,16,36.40%,88,33.70%,21,37.50%,24,100.00%
            Entered before 2010,547,79.30%,392,68.40%,65,95.60%,233,91.00%,"1,419",73.80%,61,88.40%,490,93.50%,"1,418",67.90%,436,66.50%,81,100.00%,817,71.10%,314,79.70%,193,72.00%,156,100.00%,705,73.90%,568,70.80%,7,77.80%,92,76.00%,"1,055",82.90%,608,93.00%,856,88.10%,14,87.50%,0,-,0,-,262,72.20%,656,42.20%,331,65.00%,564,68.00%,574,63.40%,639,77.60%,299,44.20%,376,75.20%,940,75.00%,46,100.00%,"2,076",77.80%,"2,391",60.90%,231,69.20%,"1,281",62.80%,"1,824",59.40%,407,57.60%,316,55.80%,482,54.50%,637,61.00%,476,87.30%,"1,353",72.20%,686,74.30%,16,30.20%,605,68.00%,905,54.50%,28,63.60%,173,66.30%,35,62.50%,0,0.00%
WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Foreign-born population, excluding population born at sea",690,690,573,573,68,68,256,256,"1,922","1,922",69,69,524,524,"2,087","2,087",656,656,81,81,"1,149","1,149",394,394,268,268,156,156,954,954,802,802,9,9,121,121,"1,273","1,273",654,654,972,972,16,16,0,0,0,0,363,363,"1,554","1,554",509,509,829,829,906,906,823,823,676,676,500,500,"1,253","1,253",46,46,"2,669","2,669","3,924","3,924",334,334,"2,040","2,040","3,071","3,071",707,707,566,566,884,884,"1,044","1,044",545,545,"1,875","1,875",923,923,53,53,890,890,"1,662","1,662",44,44,261,261,56,56,24,24
        Europe,38,5.50%,97,16.90%,12,17.60%,21,8.20%,98,5.10%,18,26.10%,8,1.50%,114,5.50%,0,0.00%,16,19.80%,240,20.90%,30,7.60%,131,48.90%,0,0.00%,30,3.10%,184,22.90%,5,55.60%,32,26.40%,221,17.40%,114,17.40%,286,29.40%,14,87.50%,0,-,0,-,33,9.10%,64,4.10%,13,2.60%,95,11.50%,62,6.80%,87,10.60%,77,11.40%,106,21.20%,157,12.50%,0,0.00%,47,1.80%,104,2.70%,0,0.00%,63,3.10%,0,0.00%,0,0.00%,4,0.70%,0,0.00%,76,7.30%,96,17.60%,133,7.10%,119,12.90%,0,0.00%,24,2.70%,45,2.70%,0,0.00%,44,16.90%,0,0.00%,0,0.00%
        Asia,220,31.90%,286,49.90%,38,55.90%,79,30.90%,332,17.30%,35,50.70%,59,11.30%,265,12.70%,112,17.10%,0,0.00%,275,23.90%,56,14.20%,81,30.20%,67,42.90%,400,41.90%,329,41.00%,2,22.20%,48,39.70%,517,40.60%,263,40.20%,390,40.10%,2,12.50%,0,-,0,-,191,52.60%,488,31.40%,110,21.60%,369,44.50%,446,49.20%,339,41.20%,436,64.50%,168,33.60%,506,40.40%,12,26.10%,497,18.60%,629,16.00%,11,3.30%,104,5.10%,104,3.40%,0,0.00%,183,32.30%,24,2.70%,339,32.50%,41,7.50%,188,10.00%,253,27.40%,16,30.20%,256,28.80%,410,24.70%,12,27.30%,145,55.60%,30,53.60%,24,100.00%
        Africa,4,0.60%,20,3.50%,0,0.00%,0,0.00%,161,8.40%,0,0.00%,12,2.30%,19,0.90%,0,0.00%,0,0.00%,14,1.20%,16,4.10%,0,0.00%,0,0.00%,139,14.60%,82,10.20%,0,0.00%,13,10.70%,153,12.00%,68,10.40%,25,2.60%,0,0.00%,0,-,0,-,32,8.80%,780,50.20%,25,4.90%,29,3.50%,79,8.70%,174,21.10%,51,7.50%,25,5.00%,239,19.10%,0,0.00%,430,16.10%,805,20.50%,0,0.00%,156,7.60%,338,11.00%,177,25.00%,48,8.50%,94,10.60%,222,21.30%,22,4.00%,415,22.10%,94,10.20%,0,0.00%,299,33.60%,553,33.30%,3,6.80%,9,3.40%,0,0.00%,0,0.00%
        Oceania,4,0.60%,0,0.00%,2,2.90%,27,10.50%,0,0.00%,0,0.00%,134,25.60%,23,1.10%,0,0.00%,43,53.10%,0,0.00%,21,5.30%,30,11.20%,5,3.20%,0,0.00%,13,1.60%,0,0.00%,0,0.00%,79,6.20%,17,2.60%,0,0.00%,0,0.00%,0,-,0,-,27,7.40%,0,0.00%,34,6.70%,8,1.00%,0,0.00%,19,2.30%,0,0.00%,89,17.80%,85,6.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,18,0.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,100,5.30%,0,0.00%,0,0.00%,12,1.30%,34,2.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
        Latin America,406,58.80%,166,29.00%,7,10.30%,121,47.30%,"1,232",64.10%,16,23.20%,290,55.30%,"1,627",78.00%,544,82.90%,22,27.20%,520,45.30%,217,55.10%,17,6.30%,84,53.80%,334,35.00%,178,22.20%,2,22.20%,25,20.70%,282,22.20%,168,25.70%,225,23.10%,0,0.00%,0,-,0,-,80,22.00%,222,14.30%,314,61.70%,328,39.60%,314,34.70%,204,24.80%,99,14.60%,79,15.80%,249,19.90%,34,73.90%,"1,695",63.50%,"2,386",60.80%,323,96.70%,"1,699",83.30%,"2,629",85.60%,530,75.00%,331,58.50%,739,83.60%,359,34.40%,386,70.80%,"1,027",54.80%,457,49.50%,37,69.80%,299,33.60%,604,36.30%,29,65.90%,63,24.10%,26,46.40%,0,0.00%
        Northern America,18,2.60%,4,0.70%,9,13.20%,8,3.10%,99,5.20%,0,0.00%,21,4.00%,39,1.90%,0,0.00%,0,0.00%,100,8.70%,54,13.70%,9,3.40%,0,0.00%,51,5.30%,16,2.00%,0,0.00%,3,2.50%,21,1.60%,24,3.70%,46,4.70%,0,0.00%,0,-,0,-,0,0.00%,0,0.00%,13,2.60%,0,0.00%,5,0.60%,0,0.00%,13,1.90%,33,6.60%,17,1.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,27,3.10%,48,4.60%,0,0.00%,12,0.60%,0,0.00%,0,0.00%,0,0.00%,16,1.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
LANGUAGE SPOKEN AT HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 5 years and over,"25,703","25,703","29,989","29,989","4,359","4,359","20,097","20,097","23,914","23,914","8,275","8,275","20,156","20,156","20,866","20,866","5,903","5,903","2,878","2,878","34,130","34,130","16,328","16,328","13,639","13,639","6,125","6,125","19,921","19,921","18,534","18,534","2,905","2,905","11,081","11,081","23,743","23,743","18,194","18,194","22,620","22,620","1,278","1,278",113,113,0,0,"5,466","5,466","10,047","10,047","9,406","9,406","9,668","9,668","16,767","16,767","16,684","16,684","8,462","8,462","11,547","11,547","23,446","23,446",580,580,"9,844","9,844","10,133","10,133","2,034","2,034","5,361","5,361","16,303","16,303","11,554","11,554","7,740","7,740","18,480","18,480","20,477","20,477","11,393","11,393","35,234","35,234","21,065","21,065","1,506","1,506","9,317","9,317","22,772","22,772","2,205","2,205","4,934","4,934","1,147","1,147",543,543
